"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Joel Embiid","Phi","C","29.7","19","34.5","36.7","15.5","220","0.877","340","0.556","64","0.328","0.546","0.633","33.4","11.5","6.4","1.1","1.9","3.9","44.8","39.8","51.3","15.6","126.4","105.2"
"","Luka Doncic","Dal","G","24.8","21","36.3","34.8","14.7","171","0.778","256","0.566","214","0.388","0.573","0.616","32","8.3","8.5","1.3","0.6","3.9","40.3","40.5","48.9","14.5","121.2","110.8"
"","Kevin Durant","Pho","F","35.2","19","36.7","32.8","15.1","158","0.892","300","0.527","88","0.5","0.577","0.644","31","6.5","5.7","0.7","1.2","3.6","37.5","36.7","43.2","11.4","122","111.9"
"","Giannis Antetokounmpo","Mil","F","29","22","34.9","33.4","17.1","228","0.667","379","0.652","37","0.243","0.626","0.652","30.6","10.7","5.1","1.4","1.3","3.9","41.3","35.7","46.4","13.6","122.5","107.4"
"","De'Aaron Fox","Sac","G","26","16","36.2","33.1","9.3","130","0.731","227","0.533","132","0.379","0.546","0.585","30.4","4.6","6.6","1.4","0.3","2.3","35","37","41.6","10.8","120.1","111.2"
"","Shai Gilgeous-Alexander","Okc","G","25.4","21","34.7","32","8.9","157","0.917","362","0.588","67","0.343","0.577","0.641","30.4","5.5","6.3","2.8","0.9","2","35.9","36.7","42.2","11.7","130.4","106.6"
"","Stephen Curry","Gol","G","35.7","20","33.8","31.2","15.9","137","0.934","140","0.55","236","0.432","0.612","0.674","29.4","5.1","4.4","0.7","0.2","3.6","34.5","33.8","38.9","10.3","123.7","113.3"
"","Anfernee Simons","Por","G","24.5","4","34.6","32.5","10.5","25","1","45","0.422","40","0.425","0.524","0.594","28.5","2.3","5","0.8","0.3","2.5","30.8","33.5","35.8","8","120.9","114.7"
"","Nikola Jokic","Den","C","28.8","23","34.3","32.7","12.3","144","0.778","378","0.595","93","0.312","0.57","0.607","28.2","12.8","9.6","1.2","0.9","2.9","41","37.8","50.6","17.6","127.3","105.3"
"","Jayson Tatum","Bos","F","25.8","21","36.7","30","14.1","138","0.79","227","0.608","180","0.356","0.575","0.617","27.5","8.7","4.2","1.1","0.3","3.2","36.2","31.7","40.4","10.9","117.1","104.7"
"","Devin Booker","Pho","G","27.1","13","34.6","31.9","14.8","107","0.916","181","0.497","61","0.426","0.533","0.616","27.4","6.3","8.1","0.8","0.5","3.2","33.7","35.5","41.8","12.9","124.9","108.3"
"","Donovan Mitchell","Cle","G","27.3","18","35.7","32","11.6","116","0.879","221","0.52","153","0.346","0.52","0.578","27.3","5.7","5.2","2","0.4","2.7","33","32.4","38.2","10.4","115.7","108.4"
"","Tyrese Maxey","Phi","G","23.1","21","37.8","26.3","6.7","118","0.898","243","0.514","172","0.407","0.554","0.606","27","4.1","6.7","0.8","0.6","1.4","31.1","33.6","37.8","9.6","130.8","113.6"
"","Trae Young","Atl","G","25.2","20","35.6","31.3","16.5","174","0.874","223","0.457","170","0.353","0.489","0.571","26.8","2.7","10.5","1.5","0.1","3.9","29.5","37.3","40","10.3","120.4","120.6"
"","Tyrese Haliburton","Ind","G","23.8","19","36.2","25","12.3","87","0.885","167","0.599","167","0.443","0.632","0.67","26.3","4.2","12.3","1","0.7","2.5","30.5","38.5","42.7","12.2","138.5","122.8"
"","LeBron James","Lal","F","38.9","22","34.9","28","16.9","127","0.717","246","0.626","123","0.407","0.621","0.646","25","7.5","6.6","1.5","0.7","3.4","32.5","31.6","39.1","12.3","118.7","108"
"","Damian Lillard","Mil","G","33.4","21","35.6","28.2","13.9","177","0.921","181","0.486","177","0.35","0.506","0.602","25","4.6","7","1","0.2","2.8","29.6","32","36.6","10.5","123.2","116.2"
"","Desmond Bane","Mem","G","25.5","22","34.4","29.7","13.1","83","0.867","235","0.54","191","0.382","0.555","0.589","24.8","4.3","5.3","1.3","0.7","2.9","29.1","30","34.4","9.6","113.7","108.7"
"","LaMelo Ball","Cha","G","22.3","15","33.4","32.8","16.5","63","0.857","164","0.488","134","0.388","0.53","0.568","24.7","5.5","8.2","1.4","0.3","3.9","30.1","32.9","38.3","12.4","112.6","113.5"
"","Jalen Brunson","Nyk","G","27.3","22","35.5","27.6","10.2","110","0.8","265","0.483","148","0.446","0.55","0.587","24.6","3.5","5.6","1","0","2.1","28.1","30.3","33.8","8.8","123.1","111.1"
"","Anthony Edwards","Min","G","22.4","19","33.5","31.6","14","111","0.865","237","0.489","119","0.378","0.515","0.572","24.4","5.6","4.8","1.2","0.5","3.1","30","29.2","34.8","10.4","111.5","104.2"
"","Lauri Markkanen","Uta","F","26.6","15","34.1","24.7","7.3","75","0.84","124","0.589","128","0.383","0.581","0.625","23.7","8.7","1.1","1.1","0.9","1.3","32.4","24.8","33.5","7.2","125.4","114.9"
"","Terry Rozier","Cha","G","29.7","12","36.9","26.5","11.9","52","0.846","139","0.525","83","0.373","0.538","0.578","23.6","3.5","7.7","0.8","0.4","2.5","27.1","31.3","34.8","9.3","118.9","120.9"
"","Cam Thomas","Bro","G","22.2","13","31.5","31.7","7.8","56","0.839","180","0.489","79","0.342","0.496","0.536","23.4","3.2","2.3","0.6","0.5","1.7","26.6","25.7","28.9","7.1","108.1","113.7"
"","Paul George","Lac","G","33.6","22","36","26.5","11.2","96","0.927","213","0.498","182","0.385","0.534","0.584","23.2","5.9","4.2","1.7","0.3","2.3","29.1","27.4","33.3","9.2","116.3","105.9"
"","Mikal Bridges","Bro","F","27.3","22","34.9","26.4","13","107","0.869","250","0.544","124","0.387","0.556","0.604","23.1","6","4","0.9","0.5","2.5","29.1","27.1","33.1","9.4","119","113.7"
"","Kyrie Irving","Dal","G","31.7","17","31.8","28.2","6.9","62","0.903","198","0.52","112","0.384","0.54","0.58","23","3.9","5.2","1.2","0.3","1.4","26.9","28.2","32.1","9.8","122.1","113.4"
"","Kawhi Leonard","Lac","F","32.5","22","34.9","25.7","8.2","92","0.859","259","0.529","123","0.415","0.559","0.599","23","5.9","3.6","1.6","0.7","1.5","28.9","26.6","32.5","9","121.8","110"
"","Brandon Ingram","Nor","F","26.3","21","33.9","28.7","12.9","106","0.783","289","0.547","90","0.3","0.524","0.564","22.9","5.1","5.4","0.7","0.1","2.7","28","28.2","33.3","10.1","110.9","111.7"
"","Zion Williamson","Nor","F","23.4","20","31","29.2","14.7","146","0.658","302","0.589","6","0.333","0.588","0.615","22.9","5.6","4.7","1.1","0.3","2.7","28.5","27.6","33.2","10.9","118.5","109.3"
"","Tyler Herro","Mia","G","23.9","8","34","29.7","11.6","25","0.88","91","0.473","61","0.41","0.53","0.561","22.9","5","4.6","1.4","0","2.5","27.9","27.5","32.5","9.5","107.5","111.4"
"","Kyle Kuzma","Was","F","28.4","22","31.2","30.8","11.3","73","0.795","283","0.53","134","0.358","0.532","0.559","22.8","5.9","4.5","0.3","0.6","2.4","28.7","27.3","33.2","10.8","107.8","119.9"
"","Anthony Davis","Lal","C","30.8","22","36.9","24.4","11.1","147","0.837","338","0.544","13","0.231","0.537","0.601","22.7","12.7","3.2","1","2.7","2","35.4","26","38.6","10.6","122.5","102.9"
"","DeMar DeRozan","Chi","F","34.3","22","35.9","27.1","6.9","159","0.805","333","0.456","59","0.373","0.472","0.539","22.6","3.5","5.3","1","0.7","1.3","26.1","28","31.5","8.3","118.2","116.2"
"","Bam Adebayo","Mia","C","26.4","16","33.6","28.1","13.3","112","0.813","250","0.524","3","0.333","0.524","0.589","22.3","10","3.9","1.2","1","2.4","32.3","26.1","36.1","11.4","116.5","106.3"
"","Jerami Grant","Por","F","29.8","19","35","26.4","12.9","112","0.83","199","0.452","119","0.412","0.514","0.572","22.1","3.8","2.2","0.8","0.9","2.5","25.9","24.3","28.2","6.5","110.4","113.8"
"","Julius Randle","Nyk","F","29","22","35","28.7","15.9","144","0.722","265","0.506","120","0.308","0.492","0.539","22","9.6","5.4","0.7","0.2","3.3","31.6","27.3","37","11.9","110.9","107.2"
"","Jaylen Brown","Bos","F","27.1","20","34","28.6","11.7","74","0.703","230","0.535","138","0.341","0.526","0.548","22","4.9","3.3","1.2","0.7","2.5","26.9","25.2","30.1","8.3","106.8","103.9"
"","Cade Cunningham","Det","G","22.2","23","35","30.5","18","91","0.89","310","0.465","137","0.336","0.477","0.52","22","3.9","7.3","1","0.3","4.3","26","29.3","33.3","9.8","101.7","115.3"
